Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
26352,10.37,2.86,1,0,0
27656,11.89,2.724,1,0,0
42808,38.92,3.298,0,0,0
18784,19.3,2.763,1,0,0
6656,45.52,2.663,1,0,0
213432,16.83,4.981,215,1,0
17208,19.31,2.797,1,0,0
196608,25.3,2.843,1,0,0
66344,15.95,2.855,1,0,0
182056,22.39,5.337,0,0,0
160696,20.94,4.545,118,1,0
15712,18.36,2.678,1,0,0
110736,24.12,2.968,1,0,0
153016,22.46,3.08,1,0,0
21896,16.35,2.914,1,0,0
33672,23.92,2.735,1,0,0
75560,22.66,2.95,1,0,0
16384,75.15,1.826,0,0,0
125048,18.41,4.617,54,0,0
75048,14.16,3.067,1,0,0
141680,33.67,2.688,80,0,0
24376,20.54,2.824,1,0,0
24912,11.79,2.755,1,0,0
61440,56.47,1.8,106,0,0
158456,31.06,2.793,113,0,0
3816888,16.06,5.482,375,1,0
1820672,28.7,2.737,1,0,0
13824,49.78,2.898,0,0,0
484192,19.73,4.315,108,2,0
1319352,11.27,5.791,117,1,0
909312,9.37,4.719,93,1,0
4608,61.7,2.391,1,0,0
15280,19.21,2.721,1,0,0
17208,17.96,2.833,1,0,0
551936,29.24,2.777,1,0,0
19648,12.96,3.717,0,0,0
255328,12.17,2.904,1,0,0
432664,19.32,3.001,116,1,0
1807120,17.22,5.695,0,0,0
234960,30.75,2.888,68,0,0
59392,26.84,5.865,0,0,0
29008,37.99,1.628,1,0,0
6656,49.07,2.58,1,0,0
24456,19.63,2.907,1,0,0
6488536,14.79,4.905,519,1,0
19296,20.61,2.535,1,0,0
40960,65.19,1.54,42,0,0
17232,17.64,2.94,1,0,0
429496,15.37,5.194,388,1,0
90408,24.86,3.058,1,0,0
136016,10.65,4.752,184,1,0
80592,18.48,4.483,0,0,0
1042200,34.52,2.722,0,0,0
61440,51.32,2.91,0,0,0
24576,76.84,1.691,0,0,0
32456,10.33,2.763,1,0,0
207288,17.18,5.188,369,1,0
16248,19.88,2.56,1,0,0
20528,13.92,2.673,1,0,0
87552,25.15,2.756,1,0,0
15696,18.68,2.711,1,0,0
45056,62.27,1.729,67,0,0
3102792,20.94,4.52,295,2,0
287160,17.57,5.316,354,1,0
15656,18.68,2.834,1,0,0
68096,29.25,2.842,1,0,0
43232,15.07,3.08,1,0,0
624912,17.81,5.355,0,0,0
17408,52.5,2.66,0,0,0
702904,15.34,4.961,42,1,0
158720,23.0,2.821,1,0,0
312456,23.19,3.145,1,0,0
120136,26.57,3.627,75,2,0
47416,20.08,3.493,57,0,0
18979080,22.81,4.177,618,2,0
43304,24.63,2.592,1,0,0
4608,57.4,2.572,1,0,0
245512,17.68,3.897,399,1,0
26856,15.58,2.729,1,0,0
20712,14.98,2.532,1,0,0
1021736,19.34,5.308,0,0,0
365904,22.05,2.705,1,0,0
958976,8.76,4.839,93,1,0
329216,17.71,5.095,77,1,0
8505504,15.67,5.742,0,0,0
15144,17.0,2.902,1,0,0
22716080,4.88,4.158,186,2,0
187160,18.91,4.646,119,1,0
20480,87.64,1.314,0,0,0
80168,19.32,2.629,1,0,0
112640,20.8,2.762,1,0,0
4788776,22.67,4.896,134,1,0
1161144,20.33,5.474,1283,1,0
11776,28.19,2.593,1,0,0
20696,14.4,2.635,1,0,0
13744,18.02,2.574,1,0,0
47744,21.64,2.684,1,0,0
13175072,15.9,5.874,0,0,0
16168,19.09,2.788,1,0,0
6656,48.59,2.53,1,0,0
252576,16.35,5.144,0,0,0
67448,26.21,3.831,216,1,0
32848,32.19,1.903,0,0,0
667136,16.05,4.719,96,1,0
208808,24.78,2.773,1,0,0
6144,54.59,2.334,1,0,0
233472,29.66,3.032,166,1,0
62461,25.22,2.999,41,0,0
6144,54.13,2.97,0,0,0
28185320,7.6,5.324,213,2,0
15184,19.75,2.599,1,0,0
3301216,22.01,3.155,1,0,0
22224,15.47,2.717,1,0,0
23400,17.84,3.358,1,0,0
682408,17.14,5.224,0,0,0
83808,9.44,2.756,1,0,0
15672,17.78,2.834,1,0,0
31672,23.43,3.249,81,1,0
62688,14.96,2.771,1,0,0
202152,25.43,3.701,267,0,0
25008,21.77,2.534,1,0,0
46504,16.71,3.298,34,1,0
83792,31.72,3.57,0,0,0
16696,19.19,2.716,1,0,0
24576,87.76,1.051,0,0,0
1172080,15.71,5.613,209,2,0
29992,22.69,2.667,1,0,0
21264,23.1,2.6,1,0,0
1986544,17.59,4.72,104,1,0
733512,25.34,2.943,1,0,0
16208,18.49,2.866,1,0,0
6144,48.19,3.176,0,0,0
18112,10.81,3.761,0,0,0
29184,26.76,2.698,1,0,0
30552,14.23,2.859,1,0,0
199608,14.02,4.381,147,1,0
724408,19.48,4.893,120,0,0
17232,19.3,2.812,1,0,0
16144,17.67,2.779,1,0,0
225280,27.44,2.755,1,0,0
15144,16.68,2.965,1,0,0
18744,19.82,2.808,1,0,0
94648,13.35,3.946,39,1,0
1421856,13.52,4.872,132,1,0
1596256,19.36,4.929,140,1,0
6144,59.59,2.826,0,0,0
27960,33.85,2.969,0,0,0
99568,20.62,3.01,1,0,0
18768,19.61,2.806,1,0,0
58168,22.9,2.818,1,0,0
22080,39.72,3.022,0,0,0
41712,16.65,2.911,1,0,0
157520,26.83,2.738,129,1,0
19968,51.64,2.828,0,0,0
41744,26.2,2.624,1,0,0
13112,17.27,2.099,0,0,0
123832,18.73,4.886,159,1,0
11264,46.94,2.354,1,0,0
130984,21.85,2.772,1,0,0
62176,32.61,2.997,0,0,0
178544,16.11,3.572,35,0,0
2271032,17.18,5.809,0,0,0
16680,16.64,2.986,1,0,0
8192,41.77,3.161,0,0,0
104768,25.36,3.044,1,0,0
24416,18.36,3.011,1,0,0
3170104,20.17,4.438,1,0,0
31016,17.22,3.001,1,0,0
45496,22.93,2.776,1,0,0
217088,33.91,3.302,176,0,0
102912,20.65,2.923,1,0,0
174112,22.35,2.993,1,0,0
104832,40.78,1.841,109,0,0
55648,22.73,2.891,1,0,0
113400,21.94,2.841,1,0,0
72368,20.79,4.76,0,0,0
22264,14.25,2.835,1,0,0
683008,27.39,2.959,1,0,0
81408,29.67,2.807,1,0,0
876056,3.75,4.677,130,1,0
4608,48.5,2.848,1,0,0
1115136,28.22,2.799,1,0,0
15632,17.6,2.802,1,0,0
17704,20.53,2.695,1,0,0
105912,18.69,4.516,189,1,0
1147136,12.8,3.59,47,0,0
3400032,13.28,4.571,0,0,0
110656,23.37,3.204,1,0,0
19720,13.11,3.667,0,0,0
139616,9.26,2.968,1,0,0
504248,10.88,5.138,170,1,0
16168,19.16,2.666,1,0,0
463600,17.97,5.48,0,0,0
30752,24.99,2.728,1,0,0
304976,18.24,5.901,0,0,0
5120,37.13,3.378,0,0,0
5120,56.89,2.458,1,0,0
731416,25.76,2.944,1,0,0
48896,19.91,2.845,1,0,0
57128,22.16,2.731,1,0,0
31944,9.42,2.886,1,0,0
219416,23.91,4.209,0,0,0
61224,17.03,4.382,0,0,0
13824,52.15,2.318,27,1,0
6703448,18.92,4.323,274,1,0
